query,id,rating
"7-ELEVEN 16860 SHERMAN WAY, VAN NUYS, CA 91406, USA",ChIJP_YP_fCZwoARAlXSxM06qFc,3
"ACE SUSHI @ VONS 20440 DEVONSHIRE ST, CHATSWORTH, CA 91311, USA",ChIJ1d9wYlibwoARzHnwkwele1Q,4.3
"AFC SUSHI @ PAVILIONS 11030 W JEFFERSON BLVD, CULVER CITY, CA 90230, USA",ChIJr3hXVgK6woARTslJqdA5ZyY,4.4
"AFC SUSHI AT VONS 2262 710 BROADWAY, SANTA MONICA, CA 90401, USA",ChIJ0_drls2kwoARDiN_0cz4cnw,4.1
"AMAZEBOWLS 300 S SANTA FE AVE # P, LOS ANGELES, CA 90013, USA",ChIJ_-IgSeTHwoARAggfTw-JN4o,4.7
"ARTESIA LIQUOR 13315 E ARTESIA BLVD, CERRITOS, CA 90703, USA",ChIJDfuqIPQs3YARH0x_daYBN0M,4.9
"ASTRO LIQUOR 10000 AVALON BLVD, LOS ANGELES, CA 90003, USA",ChIJDSbpT4_JwoARIx56trW43Bc,4.2
"BLAZE PIZZA 1301 W RANCHO VISTA BLVD STE G, PALMDALE, CA 93551, USA",ChIJRaCwOplZwoARV_Fwy2-121I,4.2
"BOWL HOUSE 2075 W 3RD ST, LA VERNE, CA 91750, USA",ChIJfSBsDk0uw4ARL-_mMoYAbMI,4.7
"CAFE NIEVE KIOSK 9301 TAMPA AVE # 6512, NORTHRIDGE, CA 91324, USA",ChIJ3WL45aWbwoARef1lC1ThVFo,5
"CAFFE ALLEGRO 2124 3RD ST, LA VERNE, CA 91750, USA",ChIJCT5sqk0uw4ARSGuxJpFdRyk,4.5
"CARL'S JR 9803 LAS TUNAS DR, TEMPLE CITY, CA 91780, USA",ChIJcXWEplHawoARuA79VKRxWGw,3.7
"CARL'S JR 1471 N MONTEBELLO BLVD, MONTEBELLO, CA 90604, USA",ChIJDWkiaDfQwoARlzDvWOhi3oU,4.1
"CARL'S JR. 15716 ARROW HWY, IRWINDALE, CA 91706, USA",ChIJ8-xbxxzYwoARxbXBXbZi270,3.6
"CHALA BOBA 16045 SHERMAN WAY STE K, VAN NUYS, CA 91406, USA",ChIJh9hm9mKXwoARK7KdBDy0FKM,4.6
"CHARKI'S TERIYAKI 2257 W ROSECRANS AVE, GARDENA, CA 90249, USA",ChIJhdVAFJS1woARGN8VYLBfJos,4.5
"CHEFS GRILL 11535 SHERMAN WAY, NORTH HOLLYWOOD, CA 91605, USA",ChIJN1O42NKVwoARjNTcrYfBoEk,4.2
"CHIPOTLE MEXICAN GRILL 14006 RIVERSIDE DR 249B, SHERMAN OAKS, CA 91423, USA",ChIJmTWmoTGWwoAR0ifWVSM23OI,3.4
"CHIPOTLE MEXICAN GRILL 13075 VICTORY BLVD, NORTH HOLLYWOOD, CA 91606, USA",ChIJWZJmC2CWwoARAjk9zIcEWF0,3.8
"CIRCLE K MARKET 2210 D ST, LA VERNE, CA 91750, USA",ChIJRedPpU0uw4ARh3ZEJwvFVDM,3.4
"COLD STONE CREAMERY 1201 W RANCHO VISTA BLVD, PALMDALE, CA 93551, USA",ChIJN1Rb071ZwoARhHpptBTHRdQ,4.5
